text,followers_count,verified,listed_count,created_at,hashtags,name,popularity
Dubai has approved its first law to regulate #crypto assets. #cryptocurrency #bitcoin $BTC https://t.co/vm61RRdZj0,2450127,True,10862,2022-03-11 03:02:36+00:00,"[{'text': 'crypto', 'indices': [45, 52]}, {'text': 'cryptocurrency', 'indices': [61, 76]}, {'text': 'bitcoin', 'indices': [77, 85]}]",Bitcoin News,3767
South Koreans have elected a pro-crypto president who vows to deregulate the #crypto industry. #cryptocurrency… https://t.co/uJqZKnDC3g,2450127,True,10862,2022-03-11 14:32:23+00:00,"[{'text': 'crypto', 'indices': [77, 84]}, {'text': 'cryptocurrency', 'indices': [95, 110]}]",Bitcoin News,1420
"It's #FEGfriday 🥳

Next 7 days is going to be wild!

🔥 UI Incoming
🔥 Dubai Crypto Expo Incoming
🔥 ... Incoming 

Le… https://t.co/esiUnBtgTQ",399542,True,572,2022-03-11 17:50:10+00:00,"[{'text': 'FEGfriday', 'indices': [5, 15]}]",FEG (Feed Every Gorilla),2395
JUST IN: 🇬🇧 UK’s Financial Conduct Authority has ordered all #cryptocurrency ATM operators to shut down immediately.,722197,True,1513,2022-03-11 12:30:58+00:00,"[{'text': 'cryptocurrency', 'indices': [61, 76]}]",Watcher.Guru,1160
Dubai adopts its first crypto law to position itself and the UAE to be a key player in designing the future of… https://t.co/r13jFMp8Mq,2450127,True,10862,2022-03-11 12:02:38+00:00,[],Bitcoin News,945
Founders of #cryptocurrency company #Bitqyck sentenced to combined 8 yrs in prison for #TaxEvasion. “These criminal… https://t.co/5nqvjlb7er,7797,True,97,2022-03-11 20:36:09+00:00,"[{'text': 'cryptocurrency', 'indices': [12, 27]}, {'text': 'Bitqyck', 'indices': [36, 44]}, {'text': 'TaxEvasion', 'indices': [87, 98]}]",IRS Criminal Investigation,355
"📢 “Be Smart With BitMart” Issue 001 is here! 🤨

📈Learn various crypto tips,  snippets of crypto wisdom and general… https://t.co/DqY5bNOOsf",398469,True,702,2022-03-11 20:36:57+00:00,[],BitMart.Exchange,94
What is MiniDoge? MiniDoge is a deflationary meme token that has built into a full fledged ecosystem built for Web… https://t.co/8qugKS94V9,98160,True,53,2022-03-11 15:25:14+00:00,[],MiniDOGE,127
"COMING SOON!! An open world blockchain adventure game, explore Doge City and play with friends. Earn NFT's, play to… https://t.co/rSLRmuTAqI",98160,True,53,2022-03-11 23:10:04+00:00,[],MiniDOGE,149
"@BitMart's 4th Anniversary is March 15th, next Tuesday!🥳🎉🎊🎂

🗓3.15-3.29 the two weeks party is packed with giveaway… https://t.co/6blbblp7yc",398469,True,702,2022-03-11 18:10:57+00:00,[],BitMart.Exchange,4549
Dubai has approved its first law to regulate #crypto assets. #cryptocurrency #bitcoin $BTC https://t.co/vm61RRdZj0,2450127,True,10862,2022-03-11 03:02:36+00:00,"[{'text': 'crypto', 'indices': [45, 52]}, {'text': 'cryptocurrency', 'indices': [61, 76]}, {'text': 'bitcoin', 'indices': [77, 85]}]",Bitcoin News,3767
"""#Shibnobi - An ecosystem with such promising potential, even @MartinKove wants to be involved in it."" 🥷🔥🦾… https://t.co/KTLI3yOKwG",134988,True,127,2022-03-11 04:06:17+00:00,"[{'text': 'Shibnobi', 'indices': [1, 10]}]",Shibnobi,3562
South Koreans have elected a pro-crypto president who vows to deregulate the #crypto industry. #cryptocurrency… https://t.co/uJqZKnDC3g,2450127,True,10862,2022-03-11 14:32:23+00:00,"[{'text': 'crypto', 'indices': [77, 84]}, {'text': 'cryptocurrency', 'indices': [95, 110]}]",Bitcoin News,1420
JUST IN: 🇮🇱 Israel's central bank has published draft regulations that might allow #crypto businesses to operate in the country.,722197,True,1513,2022-03-11 13:25:42+00:00,"[{'text': 'crypto', 'indices': [83, 90]}]",Watcher.Guru,2782
"JUST IN: 🇯🇲 Jamaica’s government will airdrop 2500 Jamaican dollars ($16) to the first 100,000 citizens who use the… https://t.co/1QYWLKbgIP",722197,True,1513,2022-03-11 11:03:05+00:00,[],Watcher.Guru,3271
JUST IN: $200 million has been liquidated from the #crypto market in the past 24 hours .,722197,True,1513,2022-03-11 02:36:23+00:00,"[{'text': 'crypto', 'indices': [51, 58]}]",Watcher.Guru,2849
"If someone gave you $100,000 worth of #crypto, that you couldn't sell before 2025, what coin would you choose to get it in?",921839,True,5538,2022-03-11 18:40:00+00:00,"[{'text': 'crypto', 'indices': [38, 45]}]",Lark Davis,2794
I seriously LOVE #crypto!,921839,True,5538,2022-03-11 22:22:00+00:00,"[{'text': 'crypto', 'indices': [17, 24]}]",Lark Davis,2395
The future of public #Bitcoin companies is uncertain. After reading @POTUS #Crypto executive order I sold all my… https://t.co/L0O6NcDFD6,874851,True,4661,2022-03-11 14:29:32+00:00,"[{'text': 'Bitcoin', 'indices': [21, 29]}, {'text': 'Crypto', 'indices': [75, 82]}]",Kevin O'Leary aka Mr. Wonderful,998
Dubai adopts its first crypto law to position itself and the UAE to be a key player in designing the future of… https://t.co/r13jFMp8Mq,2450127,True,10862,2022-03-11 12:02:38+00:00,[],Bitcoin News,945
